CODIGO,ARTICULO / CATEGORIA,PRECIO,MAYORISTA
SE024,Raw Classic Connoisseur 78mm +tips,"$3.300,00",
SE025,Raw Black organic 110mm,"$1.300,00",
SE026,Rok 110mm x300,"$3.600,00",
SE027,Stamps 110mm,"$1.500,00",
SE028,Stamps x300,"$3.600,00",
SE029,Stamps Cañamo 78mm,"$800,00",
SE030,Stamps cáñamo 110mm,"$1.500,00",
SE031,Stamps celulosas 78mm,"$1.600,00",
SE032,The bulldog 78mm,"$1.000,00",
SE033,Zeus celulosas,"$1.100,00",
SE034,Zeus papel,"$800,00",
SE035,Zeus ultrafino 78mm,"$1.300,00",
SE036,Zeus 3 en 1,"$4.680,00",
SE037,Zeus 78mm 300u mas ancho,"$2.500,00",
SE038,Zeus 78mm 500u,"$4.000,00",
SE039,3rayos 78mm,"$1.300,00",
SE040,3rayos celulosas 420,"$3.300,00",
CAT,SUSTRATO,,
SU001,Cocomix 70L,"$35.000,00",
SU002.,Coco Premium 25L Juani Juana,"$11.400,00",
SU003,Elixir Liviano 25L,"$9.800,00",
SU004,Elixir Premium 25L,"$9.300,00",
SU005,Elixir Premium 50L,"$16.800,00",
SU006,Elixir Liviano 50L,"$17.800,00",
SU007,Elixir Liviano 80L,"$26.600,00",
SU008,Elixir Premum 80L,"$25.000,00",
SU009,Evolution Grow 20L,"$7.440,00",
SU010,Princesses Growing Nutrition 20LT,"$15.000,00",
SU011,Princesses Lombricompuesto 5DM,"$2.640,00",
SU012,Princesses Profesional 80L,"$24.200,00",
SU013,Vamp 10L,"$5.000,00",
CAT,TABACO,,
TA001,Cuatro leguas,"$2.800,00",
TA002,Phillies blunt chocolate,"$8.740,00",
TA003,Phillies blunt vainilla,"$8.740,00",
TA004,Rok 30g,,
TA005,Sayri 30g,"$4.200,00",
TA006,Sayri 30g amasado nativo,"$4.500,00",
TA007,Van haasen 30g,"$4.000,00",
TA008,Van haasen 30g saborizados,"$4.000,00",
TA009,Van kief 30g menta,"$4.000,00",
TA010,Van kief 30g Cherry,"$4.000,00",
CAT,TIPS ,,
TI001,Filtro Gizeh 6mm 120u,"$2.200,00",
TI002,Filtro Gizeh carbono 6mm 120u,"$2.800,00",
TI003,Filtro Gizeh menthol 6mm 120u,"$2.200,00",
TI004,Filtro Gizeh XXL 6mm 120u,"$2.200,00",
TI005,LRC,"$1.000,00",
TI006,Moon chico ,,
TI007,Moom grande,"$500,00",
TI008,Raw Cone Tips,"$1.500,00",
TI009,Rok,"$500,00",
TI010,Stamps,"$700,00",
TI011,Smoking Mentolado,"$2.200,00",
CAT,VARIOS,,
,Balanza,"$7.935,00",
,Cooler listo para usar,"$23.000,00",
,Filtro juani juana,"$44.000,00",
,HTC higrometro,"$9.258,00",
,Keep it Fresh 120 doble costura,"$16.000,00",
,Keep it Fresh 150 doble costura,"$16.000,00",
,Keep it Fresh 120 doble costura,"$16.000,00",
,Keep it Fresh 25 doble costura,"$23.000,00",
,Keep it Fresh 90 doble costura,"$16.000,00",
